1.345307745073349437e-01,8.077147999460554395e-01,1.393953466281202310e-03,1.116790443692300882e-03,7.231568322584032185e-06
1.386691456653737775e-01,8.731639066872944888e-01,1.394804628757169082e-03,1.437669962720127068e-03,5.920897899175536178e-06
1.176275492150302693e-01,5.211057804987505593e-01,8.144888108939508757e-04,8.055037681211360892e-04,7.441734353099483849e-06
1.374812532750525618e-01,7.822895181399599496e-01,1.209956776088748267e-03,1.118333966963673196e-03,7.230312947346505614e-06
1.359864650682154064e-01,7.383381250520858474e-01,6.015383279949415227e-04,1.142414580158774120e-03,7.202299807525427554e-06
1.063542118258183344e-01,7.155647640555597988e-01,1.270793177876204097e-03,5.240658355158519166e-04,7.027343222132790117e-06
1.140474168106840186e-01,7.514297411409447403e-01,1.005212366494501316e-03,4.285447549532208104e-04,6.743528775075937124e-06
1.209687839909455720e-01,7.922200188642536389e-01,6.568030488446495365e-04,2.259404856311698754e-04,7.573121483267614627e-06
1.390922222523236496e-01,8.034078737187475561e-01,1.181260075506907533e-03,1.115661696167059977e-03,6.963835435053829828e-06
1.004191184316597096e-01,8.330398754602398315e-01,1.252555304235669241e-03,9.204254371573788703e-04,6.892508796958947820e-06
1.264481521149189713e-01,8.081737721874510116e-01,8.207166473434845694e-04,6.378448274271665379e-04,7.576718098250938621e-06
1.390088415266486355e-01,8.647933957143885131e-01,3.710933196379975676e-04,1.419236440066849649e-03,7.403738410971568963e-06
1.293192436241406562e-01,7.568697086293326715e-01,3.925828605513344456e-04,1.495033782244068778e-03,6.537825511522335791e-06
1.266576073512540312e-01,9.211640680985597740e-01,7.291360519463610784e-04,1.492167014968047824e-03,7.375020779182973305e-06
1.097703422016637342e-01,6.665467119399675067e-01,4.859964095048675565e-04,6.059006334304074468e-04,6.689548273518995886e-06
1.298249302041213360e-01,8.613993201851980475e-01,1.225041886590476446e-03,1.803521816208611427e-04,7.930899305881357342e-06
1.018208476420448122e-01,8.077745747940755505e-01,8.539807884720282882e-04,6.664742670496181121e-04,8.124422758219785839e-06
1.212620117860980229e-01,8.371809686295390573e-01,1.105374803718072677e-03,5.612455291234520142e-04,7.339381742483422488e-06
1.220562729226803006e-01,7.360171076282817637e-01,3.435669420578692235e-04,1.377859223738777663e-03,8.101020733313817827e-06
1.219801127481364988e-01,7.550052938492561871e-01,1.104801962015739296e-03,1.206723992976778317e-03,6.315516710711438833e-06
1.118311020748538748e-01,8.946532991315880867e-01,3.243319155088924058e-04,8.309104371001467928e-04,7.359665526978542980e-06
1.259761232665817243e-01,9.781058473341462944e-01,8.934817763306199126e-04,7.651692869595397132e-05,6.238793088019693312e-06
1.351915997016971127e-01,7.848912287878133665e-01,1.220217969337451238e-03,4.330210367147958221e-04,7.216849895357050146e-06
